2023/12/28 16:58:38 [error] 8392#11100: *678 CreateFile() "F:\notes\SpringCloud\codes\hmall-nginx/html/hmall-portal/js/axios.min.map" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: localhost, request: "GET /js/axios.min.map HTTP/1.1", host: "localhost:18080"
2023/12/28 17:02:56 [error] 8392#11100: *692 CreateFile() "F:\notes\SpringCloud\codes\hmall-nginx/html/hmall-portal/js/axios.min.map" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: localhost, request: "GET /js/axios.min.map HTTP/1.1", host: "localhost:18080"
2023/12/28 17:02:57 [error] 8392#11100: *690 CreateFile() "F:\notes\SpringCloud\codes\hmall-nginx/html/hmall-portal/js/axios.min.map" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: localhost, request: "GET /js/axios.min.map HTTP/1.1", host: "localhost:18080"
2023/12/28 17:03:00 [error] 8392#11100: *692 CreateFile() "F:\notes\SpringCloud\codes\hmall-nginx/html/hmall-portal/js/axios.min.map" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: localhost, request: "GET /js/axios.min.map HTTP/1.1", host: "localhost:18080"
2023/12/28 17:03:06 [error] 8392#11100: *692 CreateFile() "F:\notes\SpringCloud\codes\hmall-nginx/html/hmall-portal/js/axios.min.map" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: localhost, request: "GET /js/axios.min.map HTTP/1.1", host: "localhost:18080"
2023/12/28 17:11:07 [error] 8392#11100: *700 CreateFile() "F:\notes\SpringCloud\codes\hmall-nginx/html/hmall-portal/js/axios.min.map" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: localhost, request: "GET /js/axios.min.map HTTP/1.1", host: "localhost:18080"
2023/12/28 17:11:07 [error] 8392#11100: *700 CreateFile() "F:\notes\SpringCloud\codes\hmall-nginx/html/hmall-portal/js/axios.min.map" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: localhost, request: "GET /js/axios.min.map HTTP/1.1", host: "localhost:18080"
2023/12/28 17:11:09 [error] 8392#11100: *702 CreateFile() "F:\notes\SpringCloud\codes\hmall-nginx/html/hmall-portal/js/axios.min.map" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: localhost, request: "GET /js/axios.min.map HTTP/1.1", host: "localhost:18080"
2023/12/28 17:19:23 [notice] 72584#47044: signal process started
2023/12/28 17:21:56 [error] 99568#23132: *13 CreateFile() "F:\notes\SpringCloud\codes\hmall-nginx/html/hmall-portal/js/axios.min.map" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: localhost, request: "GET /js/axios.min.map HTTP/1.1", host: "localhost:18080"
2023/12/28 17:21:57 [error] 99568#23132: *14 CreateFile() "F:\notes\SpringCloud\codes\hmall-nginx/html/hmall-portal/js/axios.min.map" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: localhost, request: "GET /js/axios.min.map HTTP/1.1", host: "localhost:18080"
2023/12/28 17:22:04 [error] 99568#23132: *13 CreateFile() "F:\notes\SpringCloud\codes\hmall-nginx/html/hmall-portal/js/axios.min.map" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: localhost, request: "GET /js/axios.min.map HTTP/1.1", host: "localhost:18080"
2023/12/28 17:25:38 [error] 99568#23132: *25 CreateFile() "F:\notes\SpringCloud\codes\hmall-nginx/html/hmall-portal/js/axios.min.map" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: localhost, request: "GET /js/axios.min.map HTTP/1.1", host: "localhost:18080"
2023/12/28 17:25:42 [error] 99568#23132: *26 CreateFile() "F:\notes\SpringCloud\codes\hmall-nginx/html/hmall-portal/js/axios.min.map" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: localhost, request: "GET /js/axios.min.map HTTP/1.1", host: "localhost:18080"
2023/12/28 17:26:23 [error] 99568#23132: *25 CreateFile() "F:\notes\SpringCloud\codes\hmall-nginx/html/hmall-portal/js/axios.min.map" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: localhost, request: "GET /js/axios.min.map HTTP/1.1", host: "localhost:18080"
2023/12/28 17:26:29 [error] 99568#23132: *26 CreateFile() "F:\notes\SpringCloud\codes\hmall-nginx/html/hmall-portal/js/axios.min.map" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: localhost, request: "GET /js/axios.min.map HTTP/1.1", host: "localhost:18080"
2023/12/28 17:26:30 [error] 99568#23132: *26 CreateFile() "F:\notes\SpringCloud\codes\hmall-nginx/html/hmall-portal/js/axios.min.map" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: localhost, request: "GET /js/axios.min.map HTTP/1.1", host: "localhost:18080"
